customer_id,full_name,email,phone,created_at
1,Customer 1,customer1@mail.com,+84987769332,2023-08-08 03:27:22.206023
2,Customer 2,customer2@mail.com,+84995781527,2023-11-11 03:27:22.206033
3,Customer 3,customer3@mail.com,+84969411145,2023-10-07 03:27:22.206035
4,Customer 4,customer4@mail.com,+84917802932,2023-08-05 03:27:22.206037
5,Customer 5,customer5@mail.com,+84992266036,2024-06-02 03:27:22.206039
6,Customer 6,customer6@mail.com,+84997661040,2024-08-16 03:27:22.206041
7,Customer 7,customer7@mail.com,+84984087587,2024-07-30 03:27:22.206043
8,Customer 8,customer8@mail.com,+84969606960,2025-01-26 03:27:22.206046
9,Customer 9,customer9@mail.com,+84992388233,2023-07-13 03:27:22.206049
10,Customer 10,customer10@mail.com,+84911430163,2022-11-09 03:27:22.206051
11,Customer 11,customer11@mail.com,+84940953535,2024-11-11 03:27:22.206053
12,Customer 12,customer12@mail.com,+84993354121,2023-05-07 03:27:22.206055
13,Customer 13,customer13@mail.com,+84976424508,2024-06-25 03:27:22.206056
14,Customer 14,customer14@mail.com,+84970827949,2024-10-15 03:27:22.206058
15,Customer 15,customer15@mail.com,+84913199357,2024-06-18 03:27:22.206060
16,Customer 16,customer16@mail.com,+84984285643,2023-06-24 03:27:22.206062
17,Customer 17,customer17@mail.com,+84950442929,2024-03-16 03:27:22.206064
18,Customer 18,customer18@mail.com,+84925045598,2024-04-28 03:27:22.206066
19,Customer 19,customer19@mail.com,+84997148004,2024-04-09 03:27:22.206067
20,Customer 20,customer20@mail.com,+84928633424,2023-12-24 03:27:22.206069
21,Customer 21,customer21@mail.com,+84930818741,2024-08-09 03:27:22.206071
22,Customer 22,customer22@mail.com,+84931324952,2023-08-07 03:27:22.206073
23,Customer 23,customer23@mail.com,+84990094890,2024-11-04 03:27:22.206074
24,Customer 24,customer24@mail.com,+84921814486,2023-07-28 03:27:22.206076
25,Customer 25,customer25@mail.com,+84985978853,2023-12-02 03:27:22.206078
26,Customer 26,customer26@mail.com,+84931856130,2023-09-21 03:27:22.206080
27,Customer 27,customer27@mail.com,+84980700959,2023-08-07 03:27:22.206081
28,Customer 28,customer28@mail.com,+84957243612,2024-06-26 03:27:22.206083
29,Customer 29,customer29@mail.com,+84944586587,2023-12-20 03:27:22.206085
30,Customer 30,customer30@mail.com,+84994710345,2023-12-04 03:27:22.206086
31,Customer 31,customer31@mail.com,+84922613989,2024-05-23 03:27:22.206088
32,Customer 32,customer32@mail.com,+84980270207,2023-09-04 03:27:22.206090
33,Customer 33,customer33@mail.com,+84914049195,2024-08-28 03:27:22.206091
34,Customer 34,customer34@mail.com,+84964267487,2022-12-08 03:27:22.206093
35,Customer 35,customer35@mail.com,+84934974632,2023-04-03 03:27:22.206095
36,Customer 36,customer36@mail.com,+84980508688,2023-02-07 03:27:22.206097
37,Customer 37,customer37@mail.com,+84936139313,2022-08-13 03:27:22.206098
38,Customer 38,customer38@mail.com,+84953565387,2022-08-26 03:27:22.206100
39,Customer 39,customer39@mail.com,+84922298013,2022-10-20 03:27:22.206102
40,Customer 40,customer40@mail.com,+84951655181,2023-06-14 03:27:22.206103
41,Customer 41,customer41@mail.com,+84925233468,2024-05-13 03:27:22.206105
42,Customer 42,customer42@mail.com,+84970049074,2022-11-21 03:27:22.206108
43,Customer 43,customer43@mail.com,+84984381978,2024-10-14 03:27:22.206111
44,Customer 44,customer44@mail.com,+84960680475,2022-09-27 03:27:22.206114
45,Customer 45,customer45@mail.com,+84932087125,2022-09-09 03:27:22.206117
46,Customer 46,customer46@mail.com,+84969537421,2024-04-21 03:27:22.206120
47,Customer 47,customer47@mail.com,+84995457625,2024-10-25 03:27:22.206123
48,Customer 48,customer48@mail.com,+84970706931,2023-04-01 03:27:22.206126
49,Customer 49,customer49@mail.com,+84954811836,2024-08-29 03:27:22.206129
50,Customer 50,customer50@mail.com,+84921554413,2022-07-01 03:27:22.206131
51,Customer 51,customer51@mail.com,+84925996122,2024-02-20 03:27:22.206133
